segment_id,start_sample,end_sample,n_samples,duration_s,adc_median,adc_mean,adc_std,adc_mad,pressure_kpa
0,0,1241,1242,5.175,472.0,471.62640901771334,3.3079533524248554,2.0,
1,6458,7203,746,3.1083333333333334,472.0,472.127345844504,3.397464388206523,2.0,
2,12325,12973,649,2.7041666666666666,472.0,472.03852080123266,3.2935565285934207,2.0,
3,12975,13466,492,2.05,472.0,471.9573170731707,3.3142043578332436,2.0,
4,15455,15719,265,1.1041666666666667,473.0,472.4377358490566,3.0114389724749957,2.0,
5,17713,17969,257,1.0708333333333333,472.0,472.05836575875486,3.404120022402401,2.0,
6,19445,19894,450,1.875,1432.0,1431.7,5.46310859818433,4.0,
7,20695,20947,253,1.0541666666666667,472.0,472.02371541501975,3.3538708139697255,2.0,
8,22491,22875,385,1.6041666666666667,1430.0,1430.2623376623376,5.03404097731721,3.0,
9,27816,28365,550,2.2916666666666665,1404.0,1403.8145454545454,6.504136255472518,5.0,
10,29956,30547,592,2.466666666666667,1405.0,1403.9662162162163,6.4288365772536435,5.0,
11,31206,32601,1396,5.816666666666666,472.0,471.67478510028656,3.2595849881223105,2.0,
12,33278,33539,262,1.0916666666666666,472.0,471.31297709923666,3.0192359618566886,2.0,
13,40245,42676,2432,10.133333333333333,472.0,471.3149671052632,3.232158466749595,2.0,
14,43102,43871,770,3.2083333333333335,661.0,660.6506493506494,4.193845935914657,2.0,
15,44080,45059,980,4.083333333333333,472.0,471.42551020408166,3.1502449281030094,2.0,
16,45664,46265,602,2.5083333333333333,1031.0,1030.0963455149501,5.188220103344913,3.0,
17,46702,47459,758,3.158333333333333,472.0,471.34036939313984,3.370323829122794,2.0,
18,49323,49860,538,2.2416666666666667,471.0,471.2918215613383,3.2763612100268436,2.0,
19,51393,52274,882,3.675,1217.0,1216.4002267573696,2.869757856102624,1.0,
20,53806,54664,859,3.5791666666666666,957.0,956.4493597206053,3.310572746019873,2.0,
21,56278,57060,783,3.2625,693.0,693.1928480204342,3.2131355459936253,2.0,
22,58742,59461,720,3.0,472.0,471.5236111111111,3.1582340817982604,2.0,
23,61143,63119,1977,8.2375,471.0,471.22003034901365,3.167973810948948,2.0,
